## bin = 100
## cos()  ## pcos(o1) ## pcos(o2) 
   -0.990000     0.694047     0.010159 
   -0.970000     0.688709     0.007157 
   -0.950000     0.683651     0.006649 
   -0.930000     0.661423     0.007573 
   -0.910000     0.641151     0.006095 
   -0.890000     0.630157     0.007573 
   -0.870000     0.617006     0.008819 
   -0.850000     0.608421     0.008589 
   -0.830000     0.596015     0.010205 
   -0.810000     0.579377     0.010020 
   -0.790000     0.578193     0.011636 
   -0.770000     0.565761     0.012421 
   -0.750000     0.555259     0.012006 
   -0.730000     0.546287     0.013991 
   -0.710000     0.539499     0.014776 
   -0.690000     0.528292     0.014130 
   -0.670000     0.521064     0.016577 
   -0.650000     0.512359     0.017547 
   -0.630000     0.498689     0.019163 
   -0.610000     0.488999     0.018470 
   -0.590000     0.481679     0.021287 
   -0.570000     0.474624     0.023134 
   -0.550000     0.466651     0.025673 
   -0.530000     0.459543     0.025720 
   -0.510000     0.453833     0.028167 
   -0.490000     0.450159     0.030568 
   -0.470000     0.447710     0.029783 
   -0.450000     0.442067     0.034447 
   -0.430000     0.431338     0.036571 
   -0.410000     0.431538     0.039711 
   -0.390000     0.432004     0.039618 
   -0.370000     0.438939     0.044559 
   -0.350000     0.441095     0.047376 
   -0.330000     0.454179     0.052132 
   -0.310000     0.457693     0.054718 
   -0.290000     0.468435     0.058596 
   -0.270000     0.487149     0.065246 
   -0.250000     0.511507     0.067831 
   -0.230000     0.526149     0.078452 
   -0.210000     0.550241     0.081545 
   -0.190000     0.573467     0.082515 
   -0.170000     0.597133     0.092166 
   -0.150000     0.613372     0.101678 
   -0.130000     0.632033     0.100893 
   -0.110000     0.651959     0.111652 
   -0.090000     0.670647     0.125366 
   -0.070000     0.676823     0.132200 
   -0.050000     0.691292     0.143005 
   -0.030000     0.706505     0.149654 
   -0.010000     0.719536     0.163137 
    0.010000     0.736028     0.174866 
    0.030000     0.750430     0.183824 
    0.050000     0.773776     0.201601 
    0.070000     0.785609     0.214761 
    0.090000     0.818034     0.230137 
    0.110000     0.832089     0.245144 
    0.130000     0.855383     0.263430 
    0.150000     0.868840     0.275435 
    0.170000     0.894901     0.301940 
    0.190000     0.908105     0.326320 
    0.210000     0.921695     0.344698 
    0.230000     0.930613     0.367462 
    0.250000     0.932583     0.392720 
    0.270000     0.932690     0.415161 
    0.290000     0.919353     0.443190 
    0.310000     0.897364     0.471865 
    0.330000     0.871315     0.507235 
    0.350000     0.819604     0.525382 
    0.370000     0.765391     0.567032 
    0.390000     0.706239     0.600601 
    0.410000     0.644133     0.635002 
    0.430000     0.579324     0.674250 
    0.450000     0.525656     0.706204 
    0.470000     0.476022     0.752102 
    0.490000     0.441055     0.779530 
    0.510000     0.415259     0.832770 
    0.530000     0.408178     0.870680 
    0.550000     0.397889     0.903372 
    0.570000     0.388492     0.939943 
    0.590000     0.359702     0.982609 
    0.610000     0.321088     1.037326 
    0.630000     0.257185     1.074082 
    0.650000     0.171971     1.126075 
    0.670000     0.086238     1.161584 
    0.690000     0.028391     1.219026 
    0.710000     0.005471     1.260907 
    0.730000     0.000240     1.329200 
    0.750000     0.000000     1.383179 
    0.770000     0.000000     1.424782 
    0.790000     0.000000     1.471927 
    0.810000     0.000000     1.562154 
    0.830000     0.000000     1.625044 
    0.850000     0.000000     1.691075 
    0.870000     0.000000     1.795939 
    0.890000     0.000000     1.894477 
    0.910000     0.000000     2.016702 
    0.930000     0.000000     2.147101 
    0.950000     0.000000     2.279763 
    0.970000     0.000000     2.440222 
    0.990000     0.000000     2.609223 
