#K-Path    Energy     s     py     pz     px    dxy    dyz    dz2    dxz  x2-y2    tot
#Band-index    1
   0.959   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.937   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.914   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.892   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.870   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.847   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.825   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.803   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.780   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.758   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.736   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.713   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.691   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.669   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.646   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.624   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.602   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.579   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.579   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.568   -26.646  0.000  0.249  0.000  0.741  0.000  0.000  0.000  0.000  0.000  0.990
   0.557   -26.646  0.000  0.250  0.000  0.740  0.000  0.000  0.000  0.000  0.000  0.990
   0.546   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.535   -26.646  0.000  0.243  0.000  0.747  0.000  0.000  0.000  0.000  0.000  0.990
   0.524   -26.646  0.000  0.258  0.000  0.731  0.000  0.000  0.000  0.000  0.000  0.990
   0.513   -26.646  0.000  0.262  0.000  0.728  0.000  0.000  0.000  0.000  0.000  0.990
   0.501   -26.646  0.000  0.258  0.000  0.732  0.000  0.000  0.000  0.000  0.000  0.990
   0.490   -26.646  0.000  0.256  0.000  0.734  0.000  0.000  0.000  0.000  0.000  0.990
   0.479   -26.646  0.000  0.257  0.000  0.733  0.000  0.000  0.000  0.000  0.000  0.990
   0.468   -26.646  0.000  0.251  0.000  0.739  0.000  0.000  0.000  0.000  0.000  0.990
   0.457   -26.646  0.000  0.252  0.000  0.738  0.000  0.000  0.000  0.000  0.000  0.990
   0.446   -26.646  0.000  0.254  0.000  0.735  0.000  0.000  0.000  0.000  0.000  0.990
   0.434   -26.646  0.000  0.253  0.000  0.737  0.000  0.000  0.000  0.000  0.000  0.990
   0.423   -26.646  0.000  0.253  0.000  0.737  0.000  0.000  0.000  0.000  0.000  0.990
   0.412   -26.646  0.000  0.252  0.000  0.738  0.000  0.000  0.000  0.000  0.000  0.990
   0.401   -26.646  0.000  0.256  0.000  0.734  0.000  0.000  0.000  0.000  0.000  0.990
   0.390   -26.646  0.000  0.260  0.000  0.730  0.000  0.000  0.000  0.000  0.000  0.990
   0.379   -26.646  0.000  0.266  0.000  0.724  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.646  0.000  0.274  0.000  0.716  0.000  0.000  0.000  0.000  0.000  0.990
   0.367   -26.646  0.000  0.274  0.000  0.716  0.000  0.000  0.000  0.000  0.000  0.990
