#K-Path             Spin-Up       Spin-Down
#Band-index    1
  0.892      -20.3193      -20.3204
  0.870      -20.3046      -20.3057
  0.847      -20.2871      -20.2883
  0.825      -20.2671      -20.2682
  0.803      -20.2444      -20.2455
  0.780      -20.2191      -20.2202
  0.758      -20.1913      -20.1924
  0.736      -20.1610      -20.1622
  0.713      -20.1284      -20.1296
  0.691      -20.0937      -20.0949
  0.669      -20.0574      -20.0586
  0.646      -20.0204      -20.0217
  0.624      -19.9853      -19.9868
  0.602      -19.9584      -19.9600
  0.579      -19.9488      -19.9505
  0.579      -19.9488      -19.9505
  0.568      -19.9507      -19.9524
  0.557      -19.9553      -19.9570
  0.546      -19.9615      -19.9631
  0.535      -19.9684      -19.9701
  0.524      -19.9757      -19.9773
  0.513      -19.9829      -19.9844
  0.501      -19.9898      -19.9914
  0.490      -19.9964      -19.9980
  0.479      -20.0026      -20.0041
  0.468      -20.0083      -20.0098
  0.457      -20.0134      -20.0149
  0.446      -20.0180      -20.0195
  0.434      -20.0220      -20.0235
  0.423      -20.0254      -20.0269
  0.412      -20.0282      -20.0297
  0.401      -20.0304      -20.0319
  0.390      -20.0319      -20.0334
  0.379      -20.0329      -20.0344
  0.367      -20.0332      -20.0347
  0.367      -20.0332      -20.0347
  0.348      -20.0454      -20.0468
  0.329      -20.0712      -20.0725
  0.309      -20.1003      -20.1016
  0.290      -20.1294      -20.1306
  0.271      -20.1574      -20.1586
  0.251      -20.1838      -20.1850
  0.232      -20.2085      -20.2097
  0.213      -20.2314      -20.2326
  0.193      -20.2524      -20.2535
  0.174      -20.2714      -20.2725
  0.155      -20.2885      -20.2896
  0.135      -20.3035      -20.3047
  0.116      -20.3166      -20.3178
  0.097      -20.3277      -20.3288
  0.077      -20.3368      -20.3379
  0.058      -20.3439      -20.3450
  0.039      -20.3489      -20.3500
  0.019      -20.3519      -20.3530
  0.000      -20.3529      -20.3541
#Band-index    5
  0.000      -18.9864      -18.9881
  0.019      -19.0153      -19.0168
  0.039      -19.0696      -19.0710
  0.058      -19.1305      -19.1318
  0.077      -19.1934      -19.1947
  0.097      -19.2566      -19.2578
  0.116      -19.3191      -19.3202
  0.135      -19.3803      -19.3815
  0.155      -19.4401      -19.4413
  0.174      -19.4983      -19.4994
  0.193      -19.5546      -19.5557
  0.213      -19.6091      -19.6102
  0.232      -19.6616      -19.6627
  0.251      -19.7121      -19.7131
  0.271      -19.7603      -19.7613
  0.290      -19.8062      -19.8071
  0.309      -19.8492      -19.8501
  0.329      -19.8882      -19.8891
  0.348      -19.9200      -19.9208
  0.367      -19.9342      -19.9349
  0.367      -19.9342      -19.9349
  0.379      -19.9339      -19.9345
  0.390      -19.9328      -19.9335
  0.401      -19.9311      -19.9318
  0.412      -19.9288      -19.9295
  0.423      -19.9257      -19.9264
  0.434      -19.9220      -19.9227
  0.446      -19.9176      -19.9183
  0.457      -19.9125      -19.9132
  0.468      -19.9067      -19.9074
  0.479      -19.9003      -19.9010
  0.490      -19.8932      -19.8939
  0.501      -19.8854      -19.8861
  0.513      -19.8769      -19.8776
  0.524      -19.8678      -19.8685
  0.535      -19.8580      -19.8587
  0.546      -19.8475      -19.8482
  0.557      -19.8363      -19.8370
  0.568      -19.8244      -19.8251
  0.579      -19.8119      -19.8126
  0.579      -19.8119      -19.8126
  0.602      -19.8254      -19.8262
  0.624      -19.8161      -19.8171
  0.646      -19.7934      -19.7944
  0.669      -19.7634      -19.7645
  0.691      -19.7286      -19.7298
  0.713      -19.6902      -19.6914
  0.736      -19.6484      -19.6497
  0.758      -19.6037      -19.6049
  0.780      -19.5561      -19.5573
  0.803      -19.5057      -19.5070
  0.825      -19.4526      -19.4539
  0.847      -19.3969      -19.3982
  0.870      -19.3386      -19.3399
  0.892      -19.2779      -19.2792
  0.914      -19.2150      -19.2163
  0.937      -19.1503      -19.1516
  0.959      -19.0848      -19.0863
  0.981      -19.0226      -19.0241
