 16750 16.750000 -3.608500 95.776600 10.163300   -3.728770 93.040200 10.792700   
 17000 17.000000 -4.022870 96.070000 10.222000   -3.985720 93.029900 11.162300   
 17250 17.250000 -4.173800 96.085800 11.657400   -4.243330 93.357900 10.915600   
 17500 17.500000 -4.577090 96.296500 11.386000   -4.314150 93.514000 11.027300   
 17750 17.750000 -4.905250 96.128800 10.742900   -4.553000 93.373200 11.191700   
 18000 18.000000 -4.298140 95.623700 10.866400   -3.848160 92.915800 11.108700   
 18250 18.250000 -4.046890 96.160700 10.887700   -3.558910 93.331000 11.397900   
 18500 18.500000 -3.702190 96.623700 11.136300   -3.149760 94.000500 11.244700   
 18750 18.750000 -4.098530 96.310900 11.129100   -3.314670 93.659200 11.352600   
 19000 19.000000 -4.072200 95.906700 11.473500   -2.856820 93.524100 11.255800   
 19250 19.250000 -3.847930 95.816200 11.622900   -2.936140 93.060800 11.357500   
 19500 19.500000 -3.871500 95.884900 11.542100   -2.622490 93.279500 11.312900   
 19750 19.750000 -3.328290 95.978800 11.692600   -1.932240 93.412000 11.073600   
 20000 20.000000 -3.551780 95.776000 11.164100   -2.238960 93.327900 11.167900   
 20250 20.250000 -3.756150 95.787600 11.235400   -2.301130 93.327200 10.890100   
 20500 20.500000 -3.417030 95.828300 10.966800   -2.199300 93.406200 11.271900   
 20750 20.750000 -3.003330 95.639900 10.837100   -1.643470 93.223200 11.069800   
 21000 21.000000 -3.069530 95.835400 11.059400   -1.711290 93.164100 10.993700   
 21250 21.250000 -2.721690 96.079100 11.241600   -1.804510 93.510900 11.249100   
 21500 21.500000 -2.859810 96.107400 11.527800   -1.645570 93.581300 10.969400   
 21750 21.750000 -2.926140 95.955100 11.063900   -1.908660 93.479000 11.265700   
 22000 22.000000 -3.343780 95.880800 10.852300   -1.815270 93.460900 10.760700   
 22250 22.250000 -3.391940 95.899300 10.157600   -1.753350 93.653100 10.975200   
 22500 22.500000 -3.199220 96.044200 11.453500   -2.239750 93.279000 10.869700   
 22750 22.750000 -2.891340 96.051400 11.252600   -1.790270 93.536100 11.238000   
 23000 23.000000 -3.043410 96.247700 11.138600   -1.868800 93.847900 10.455200   
 23250 23.250000 -2.837530 96.350900 11.426700   -1.819820 93.683600 11.175900   
 23500 23.500000 -3.016080 96.495800 11.414400   -1.993260 93.901600 11.028000   
 23750 23.750000 -2.693750 96.643300 10.907200   -1.762830 93.834100 10.936700   
 24000 24.000000 -3.063850 96.593800 11.267000   -2.138160 93.785100 11.167300   
 24250 24.250000 -3.106120 95.975400 11.205200   -1.729990 93.456100 11.219900   
 24500 24.500000 -2.812700 96.112700 11.205300   -1.311160 93.527600 11.099500   
 24750 24.750000 -2.986730 96.338300 11.331500   -1.709880 93.782300 11.093100   
 25000 25.000000 -3.670010 96.034600 11.044600   -1.928310 93.203400 11.236400   
