390.0000 74.0839 	87.2017 	80.3416 	40.0031 	23.1827 				
395.0000 75.1132 	88.5630 	81.4692 	40.4745 	23.4022 				
400.0000 76.2087 	89.9565 	82.6143 	40.9215 	23.6015 				
405.0000 77.3315 	91.3259 	83.7722 	41.3298 	23.7976 				
410.0000 78.4833 	92.6956 	84.9378 	41.7155 	24.0054 				
415.0000 79.6315 	94.0284 	86.1067 	42.1212 	24.2242 				
420.0000 80.7248 	95.3570 	87.2029 	42.5225 	24.4421 				
425.0000 81.8297 	96.6096 	88.3006 	42.9431 	24.6847 				
430.0000 82.9425 	97.8916 	89.4023 	43.4038 	24.9231 				
435.0000 84.0358 	99.2009 	90.5001 	43.9007 	25.1432 				
440.0000 85.1551 	100.5559 	91.5503 	44.3836 	25.3592 				
445.0000 86.2308 	101.9315 	92.5867 	44.8821 	25.5952 				
450.0000 87.2715 	103.2486 	93.5794 	45.3327 	25.8363 				
455.0000 88.2998 	104.5147 	94.5366 	45.7953 	26.0659 				
460.0000 89.3794 	105.8305 	95.5018 	46.2568 	26.2692 				
465.0000 90.4310 	107.1084 	96.4291 	46.7367 	26.4612 				
470.0000 91.4617 	108.3880 	97.3372 	47.2504 	26.6808 				
475.0000 92.4931 	109.6653 	98.2391 	47.7790 	26.9051 				
480.0000 93.5640 	110.9455 	99.1144 	48.2921 	27.1357 				
485.0000 94.6190 	112.2691 	100.0206 	48.7692 	27.3819 				
490.0000 95.6874 	113.6477 	100.9671 	49.2327 	27.6305 				
495.0000 96.7319 	114.9781 	101.9537 	49.6544 	27.8749 				
500.0000 97.7907 	116.3167 	102.9458 	50.0894 	28.1137 				
505.0000 98.8682 	117.5885 	103.8442 	50.4693 	28.3411 				
510.0000 99.9718 	118.8848 	104.7715 	50.8327 	28.5651 				
515.0000 101.0626 	120.2961 	105.6655 	51.1846 	28.8199 				
520.0000 102.1518 	121.6803 	106.5731 	51.5643 	29.0694 				
525.0000 103.2511 	123.0625 	107.4775 	51.9430 	29.3216 				
530.0000 104.3319 	124.4053 	108.3138 	52.3014 	29.5672 				
535.0000 105.3631 	125.7480 	109.1541 	52.6739 	29.7911 				
540.0000 106.4188 	127.1171 	110.0165 	53.0179 	30.0100 				
545.0000 107.5426 	128.4971 	110.9191 	53.3350 	30.2266 				
550.0000 108.6538 	129.8025 	111.8515 	53.6118 	30.4697 				
555.0000 109.7603 	131.1236 	112.7729 	53.8680 	30.7383 				
560.0000 110.9127 	132.4420 	113.7367 	54.1515 	31.0134 				
565.0000 112.0536 	133.7477 	114.7162 	54.4905 	31.2936 				
570.0000 113.1986 	135.0470 	115.7128 	54.8272 	31.6060 				
575.0000 114.3260 	136.2814 	116.7231 	55.2145 	31.9216 				
580.0000 115.4032 	137.5492 	117.6711 	55.5946 	32.2235 				
585.0000 116.4595 	138.7868 	118.6100 	56.0014 	32.5063 				
590.0000 117.5201 	140.0642 	119.5168 	56.4056 	32.7867 				
595.0000 118.5167 	141.3200 	120.4014 	56.7854 	33.0727 				
600.0000 119.5153 	142.5301 	121.2750 	57.1752 	33.3560 				
605.0000 120.4733 	143.7461 	122.1177 	57.5627 	33.6269 				
610.0000 121.4481 	144.9441 	123.0071 	57.9641 	33.9264 				
615.0000 122.4032 	146.1899 	123.8899 	58.3661 	34.2461 				
620.0000 123.3848 	147.4903 	124.7217 	58.7565 	34.5613 				
625.0000 124.3551 	148.7957 	125.5212 	59.1627 	34.8553 				
630.0000 125.2979 	150.0975 	126.2792 	59.5930 	35.1363 				
635.0000 126.2324 	151.4170 	127.0210 	60.0239 	35.4148 				
640.0000 127.2139 	152.7127 	127.7326 	60.4280 	35.6954 				
645.0000 128.2342 	154.0379 	128.4889 	60.7927 	35.9877 				
650.0000 129.2214 	155.3646 	129.2745 	61.1699 	36.2562 				
655.0000 130.1980 	156.7631 	130.0220 	61.5524 	36.5184 				
660.0000 131.2124 	158.0987 	130.7816 	61.9458 	36.7934 				
665.0000 132.2031 	159.3949 	131.5872 	62.3346 	37.0785 				
670.0000 133.2456 	160.6778 	132.3844 	62.7118 	37.3726 				
675.0000 134.2488 	161.9154 	133.1976 	63.1236 	37.6781 				
680.0000 135.2083 	163.1944 	134.0503 	63.5427 	37.9995 				
685.0000 136.1872 	164.4533 	134.9319 	63.9425 	38.3266 				
690.0000 137.1108 	165.7528 	135.8424 	64.3446 	38.6540 				
695.0000 138.0138 	166.9891 	136.7348 	64.7543 	38.9760 				
