      #Energy        TDOS-UP        TDOS-DOWN
      -6.16875       5.64400      -5.64400
      -6.04375       5.47500      -5.47400
      -5.91875       5.35800      -5.35800
      -5.79475       5.24000      -5.24000
      -5.66975       5.12500      -5.12600
      -5.54475       5.04500      -5.04400
      -5.41975       4.93100      -4.93100
      -5.29475       4.85000      -4.85000
      -5.16975       4.77300      -4.77400
      -5.04475       4.73900      -4.74000
      -4.92075       4.70900      -4.71000
      -4.79575       4.66600      -4.66600
      -4.67075       4.52600      -4.52400
      -4.54575       4.50200      -4.50200
      -4.42075       4.50500      -4.50500
      -4.29575       4.51400      -4.51600
      -4.17075       4.49100      -4.49100
      -4.04575       4.51200      -4.51300
      -3.92175       4.50900      -4.51100
      -3.79675       4.21500      -4.21500
      -3.67175       3.40200      -3.40300
      -3.54675       3.14600      -3.14700
      -3.42175       3.28300      -3.28600
      -3.29675       3.39200      -3.39100
      -3.17175       4.27900      -4.28900
      -3.04775       4.29400      -4.28200
      -2.92275       3.31200      -3.30100
      -2.79775       2.70000      -2.69500
      -2.67275       2.30800      -2.30400
      -2.54775       2.03300      -2.02700
      -2.42275       1.84600      -1.84600
      -2.29775       1.62200      -1.62000
      -2.17375       1.43600      -1.43300
      -2.04875       1.27100      -1.26900
      -1.92375       1.09600      -1.09400
      -1.79875       0.96100      -0.95850
      -1.67375       0.84610      -0.84440
      -1.54875       0.70950      -0.70800
      -1.42375       0.58670      -0.58480
      -1.29975       0.47450      -0.47260
      -1.17475       0.35910      -0.35750
      -1.04975       0.24400      -0.24230
      -0.92475       0.13410      -0.13240
      -0.79975       0.05980      -0.05942
      -0.67475       0.10020      -0.10170
      -0.54975       0.21120      -0.21300
      -0.42575       0.33300      -0.33500
      -0.30075       0.45820      -0.46050
      -0.17575       0.59320      -0.60880
      -0.05075       0.74870      -1.61500
       0.07425       0.91730      -5.54800
       0.19925       1.09200      -3.48800
       0.32425       1.33500      -1.44500
       0.44925       1.68200      -1.68300
       0.57325       2.51600      -2.17400
       0.69825       6.38800      -2.98500
       0.82325       8.45800      -4.78700
       0.94825       5.36100      -4.85600
       1.07325       3.78200      -3.74400
       1.19825       3.27300      -3.25800
       1.32325       2.69700      -2.68000
       1.44725       2.51100      -2.51000
       1.57225       2.70900      -2.71300
       1.69725       2.49900      -2.66200
