      #Energy        TDOS-UP        TDOS-DOWN
      -6.54375      47.63988     -47.64503
      -6.41875      48.40615     -48.41124
      -6.29375      49.14358     -49.14854
      -6.16875      49.85866     -49.86356
      -6.04375      50.55282     -50.55766
      -5.91875      51.22913     -51.23390
      -5.79475      51.89077     -51.89554
      -5.66975      52.53786     -52.54270
      -5.54475      53.17278     -53.17761
      -5.41975      53.79558     -53.80036
      -5.29475      54.40621     -54.41099
      -5.16975      55.00698     -55.01182
      -5.04475      55.60082     -55.60578
      -4.92075      56.19066     -56.19575
      -4.79575      56.77595     -56.78110
      -4.67075      57.34981     -57.35483
      -4.54575      57.91343     -57.91833
      -4.42075      58.47574     -58.48064
      -4.29575      59.03880     -59.04382
      -4.17075      59.60099     -59.60613
      -4.04575      60.16305     -60.16826
      -3.92175      60.72623     -60.73163
      -3.79675      61.27088     -61.27640
      -3.67175      61.74641     -61.75199
      -3.54675      62.15520     -62.16091
      -3.42175      62.55657     -62.56253
      -3.29675      62.97329     -62.97937
      -3.17175      63.45219     -63.45884
      -3.04775      63.98741     -63.99393
      -2.92275      64.46226     -64.46734
      -2.79775      64.83759     -64.84167
      -2.67275      65.15024     -65.15376
      -2.54775      65.42125     -65.42415
      -2.42275      65.66342     -65.66594
      -2.29775      65.87992     -65.88233
      -2.17375      66.07084     -66.07293
      -2.04875      66.23984     -66.24161
      -1.92375      66.38761     -66.38914
      -1.79875      66.51603     -66.51727
      -1.67375      66.62885     -66.62983
      -1.54875      66.72596     -66.72675
      -1.42375      66.80689     -66.80746
      -1.29975      66.87314     -66.87347
      -1.17475      66.92518     -66.92529
      -1.04975      66.96283     -66.96274
      -0.92475      66.98644     -66.98613
      -0.79975      66.99854     -66.99811
      -0.67475      67.00853     -67.00817
      -0.54975      67.02797     -67.02781
      -0.42575      67.06194     -67.06203
      -0.30075      67.11134     -67.11169
      -0.17575      67.17698     -67.17845
      -0.05075      67.26075     -67.31728
       0.07425      67.36476     -67.76447
       0.19925      67.49020     -68.32859
       0.32425      67.64172     -68.63656
       0.44925      67.83008     -68.83184
       0.57325      68.09216     -69.07263
       0.69825      68.64804     -69.39471
       0.82325      69.57488     -69.87992
       0.94825      70.43761     -70.48194
       1.07325      71.00841     -71.01884
       1.19825      71.44885     -71.45598
       1.32325      71.82156     -71.82669
       1.44725      72.14670     -72.15070
       1.57225      72.47259     -72.47678
       1.69725      72.79773     -72.81234
       1.82225      73.10282     -73.25585
       1.94725      73.39306     -73.90893
       2.07225      73.68118     -74.58805
       2.19725      74.08154     -75.19831
       2.32125      74.67413     -75.96795
       2.44625      75.28090     -76.88536
       2.57125      75.80618     -77.58583
       2.69625      76.38953     -78.01729
       2.82125      77.10093     -78.51311
       2.94625      77.85528     -79.26765
       3.07125      78.62005     -80.13724
       3.19525      79.40442     -80.97618
       3.32025      80.22414     -81.86793
       3.44525      81.07238     -82.84166
       3.57025      81.92430     -83.79035
       3.69525      82.83878     -84.76027
       3.82025      83.79565     -85.83489
       3.94525      84.77431     -86.94671
       4.06925      85.82102     -88.04499
       4.19425      86.93509     -89.13889
       4.31925      88.07020     -90.32857
       4.44425      89.19307     -91.60652
       4.56925      90.38294     -92.82641
       4.69425      91.65839     -94.00796
       4.81925      92.88958     -95.26756
       4.94325      94.05977     -96.61231
       5.06825      95.29671     -97.93521
       5.19325      96.64333     -99.20942
       5.31825      98.00869    -100.51671
       5.44325      99.33408    -101.84148
       5.56825     100.57077    -103.14565
       5.69325     101.80183    -104.46606
       5.81825     103.13035    -105.84202
       5.94225     104.48946    -107.24858
       6.06725     105.83421    -108.66950
       6.19225     107.22079    -110.14036
       6.31725     108.69040    -111.65679
       6.44225     110.19185    -113.27311
       6.56725     111.78445    -115.02117
       6.69225     113.65362    -116.85912
       6.81625     115.66450    -118.54723
       6.94125     117.55552    -119.59994
       7.06625     119.04636    -119.95058
       7.19125     119.79665    -119.99799
       7.31625     119.98089    -119.99954
       7.44125     120.00076    -119.99955
       7.56625     120.00173    -119.99955
       7.69025     120.00174    -119.99955
       7.81525     120.00174    -119.99955
       7.94025     120.00174    -119.99955
       8.06525     120.00174    -119.99955
       8.19025     120.00174    -119.99955
       8.31525     120.00174    -119.99955
       8.44025     120.00174    -119.99955
       8.56425     120.00174    -119.99955
       8.68925     120.00174    -119.99955
       8.81425     120.00174    -119.99955
       8.93925     120.00174    -119.99955
