5432
Atoms. Timestep: 0
CA 61.5998 6.06218 3.39964
CA 62.9998 8.48709 3.39887
CA 0.69992 7.27453 3.39791
CA 2.09988 7.27475 3.39723
CA 2.79995 8.48701 3.39749
CA 4.19993 8.48715 3.39885
CA 4.89988 7.2747 3.39999
CA 6.29977 7.27465 3.40145
CA 6.9999 8.48705 3.40132
CA 8.39991 8.48711 3.40183
CA 9.09982 7.27457 3.40255
CA 10.4999 7.27474 3.40249
CA 11.1999 8.48712 3.40264
CA 12.5999 8.48711 3.40243
CA 13.3 7.27479 3.40268
CA 14.6999 7.27481 3.40192
CA 15.3998 8.48711 3.40056
CA 16.7999 8.48723 3.39939
CA 17.4999 7.27479 3.39891
CA 18.9 7.27471 3.39896
CA 19.5999 8.48717 3.39913
CA 20.9999 8.48726 3.40057
CA 21.6999 7.27467 3.40073
CA 23.1 7.27487 3.40182
CA 23.8 8.4872 3.40289
CA 25.1999 8.48719 3.40243
CA 25.9001 7.27474 3.4027
CA 27.2999 7.27465 3.40278
CA 27.9999 8.48702 3.40141
CA 29.4001 8.4871 3.40094
CA 30.1 7.2748 3.40006
CA 31.5 7.27475 3.39829
CA 32.2 8.48711 3.39737
CA 33.6 8.48726 3.39812
CA 34.2999 7.27457 3.39951
CA 35.7 7.27464 3.40134
CA 36.4 8.48706 3.40187
CA 37.8 8.48704 3.40188
CA 38.5 7.27465 3.40091
CA 39.9 7.27467 3.3997
CA 40.6001 8.48706 3.39972
CA 42.0001 8.48708 3.40002
CA 42.7 7.27462 3.40085
CA 44.1 7.27463 3.40151
CA 44.8 8.48696 3.3994
CA 46.2 8.48706 3.39764
CA 46.9 7.27459 3.39843
CA 48.3 7.27467 3.39759
CA 49 8.48706 3.39791
CA 50.4 8.48715 3.39936
CA 51.1 7.27467 3.39952
CA 52.5001 7.27476 3.40073
CA 53.2002 8.48703 3.40102
CA 54.6001 8.48716 3.40051
CA 55.3 7.27477 3.40034
CA 56.6999 7.27484 3.39968
CA 57.4 8.48721 3.39972
CA 58.8 8.48716 3.40005
CA 59.5 7.27475 3.39936
CA 60.8998 7.27476 3.39933
