      #Energy        TDOS-UP        TDOS-DOWN
      -6.53093       6.69100      -6.69300
      -6.41193       6.35400      -6.35500
      -6.29293       6.10700      -6.10800
      -6.17393       5.93000      -5.93000
      -6.05493       5.73200      -5.73300
      -5.93493       5.59600      -5.59600
      -5.81593       5.47800      -5.47700
      -5.69693       5.36000      -5.35700
      -5.57793       5.32200      -5.31400
      -5.45893       5.40700      -5.37600
      -5.33993       5.97800      -5.81700
      -5.22093       8.50900      -8.29100
      -5.10193       7.23200      -7.54700
      -4.98293       5.19400      -5.27800
      -4.86393       4.88500      -4.89900
      -4.74493       4.75100      -4.75500
      -4.62493       4.66500      -4.66700
      -4.50593       4.61200      -4.61300
      -4.38693       4.57300      -4.57400
      -4.26793       4.52500      -4.52500
      -4.14893       4.50600      -4.50600
      -4.02993       4.50800      -4.50800
      -3.91093       4.47600      -4.47500
      -3.79193       4.48300      -4.48300
      -3.67293       4.36300      -4.36300
      -3.55393       3.55500      -3.55500
      -3.43493       3.06300      -3.06300
      -3.31493       3.18000      -3.17900
      -3.19593       3.37300      -3.37200
      -3.07693       3.87500      -3.87300
      -2.95793       4.61400      -4.61300
      -2.83893       4.06400      -4.06800
      -2.71993       3.20200      -3.20400
      -2.60093       2.67500      -2.67600
      -2.48193       2.29200      -2.29300
      -2.36293       2.07100      -2.07200
      -2.24393       1.83700      -1.83700
      -2.12493       1.62000      -1.62100
      -2.00493       1.47500      -1.47600
      -1.88593       1.29700      -1.29700
      -1.76693       1.14400      -1.14500
      -1.64793       1.02400      -1.02500
      -1.52893       0.88540      -0.88570
      -1.40993       0.76150      -0.76200
      -1.29093       0.65290      -0.65340
      -1.17193       0.53400      -0.53430
      -1.05293       0.42110      -0.42150
      -0.93393       0.31640      -0.31680
      -0.81493       0.20880      -0.20920
      -0.69493       0.10540      -0.10570
      -0.57593       0.05722      -0.05717
      -0.45693       0.11890      -0.11840
      -0.33793       0.22850      -0.22780
      -0.21893       0.37250      -0.34540
      -0.09993       1.55500      -0.46470
       0.01907       5.33000      -0.59240
       0.13807       3.14800      -0.74060
       0.25707       1.02600      -0.89610
       0.37607       1.06200      -1.06200
       0.49507       1.28800      -1.29000
       0.61507       1.56200      -1.56700
       0.73407       1.91100      -1.93400
       0.85307       2.52400      -2.86700
       0.97207       3.89800      -6.41300
       1.09107       5.21800      -9.25100
       1.21007       4.39000      -5.64400
       1.32907       3.52600      -3.63000
       1.44807       3.10400      -3.12300
       1.56707       3.05100      -2.82500
       1.68607       4.78200      -2.65300
       1.80507       6.71000      -2.59500
       1.92507       7.01400      -2.43500
       2.04407       9.24700      -2.34400
       2.16307       7.53600      -2.31000
       2.28207       3.72700      -2.89500
       2.40107       2.41600      -5.34100
       2.52007       2.51800      -6.27200
       2.63907       3.23800      -5.81800
       2.75807       4.51300      -5.19000
       2.87707       6.25100      -4.70700
       2.99607       7.15000      -4.78800
       3.11507       7.93400      -5.28900
       3.23507       7.63500      -5.86200
       3.35407       8.59000      -7.82300
       3.47307       7.55000      -7.92000
       3.59207       7.42500      -6.83100
