      #Energy        TDOS-UP        TDOS-DOWN
      -6.64993      48.72107     -48.71970
      -6.53093      49.54381     -49.54273
      -6.41193      50.32058     -50.31968
      -6.29293      51.06257     -51.06179
      -6.17393      51.77932     -51.77860
      -6.05493      52.47374     -52.47308
      -5.93493      53.14827     -53.14767
      -5.81593      53.80767     -53.80701
      -5.69693      54.45303     -54.45213
      -5.57793      55.08909     -55.08754
      -5.45893      55.72795     -55.72408
      -5.33993      56.40587     -56.39057
      -5.22093      57.26851     -57.23063
      -5.10193      58.20581     -58.17371
      -4.98293      58.94572     -58.93738
      -4.86393      59.54588     -59.54337
      -4.74493      60.11966     -60.11823
      -4.62493      60.68034     -60.67926
      -4.50593      61.23274     -61.23184
      -4.38693      61.77966     -61.77889
      -4.26793      62.32141     -62.32069
      -4.14893      62.85916     -62.85844
      -4.02993      63.39590     -63.39518
      -3.91093      63.93086     -63.93008
      -3.79193      64.46433     -64.46349
      -3.67293      64.99106     -64.99023
      -3.55393      65.46254     -65.46171
      -3.43493      65.85662     -65.85578
      -3.31493      66.22836     -66.22746
      -3.19593      66.61856     -66.61754
      -3.07693      67.05014     -67.04895
      -2.95793      67.55562     -67.55425
      -2.83893      68.07236     -68.07116
      -2.71993      68.50501     -68.50418
      -2.60093      68.85496     -68.85430
      -2.48193      69.15072     -69.15018
      -2.36293      69.41052     -69.41010
      -2.24393      69.64322     -69.64286
      -2.12493      69.84907     -69.84877
      -2.00493      70.03336     -70.03318
      -1.88593      70.19842     -70.19830
      -1.76693      70.34377     -70.34371
      -1.64793      70.47287     -70.47292
      -1.52893      70.58656     -70.58670
      -1.40993      70.68463     -70.68481
      -1.29093      70.76885     -70.76909
      -1.17193      70.83952     -70.83981
      -1.05293      70.89640     -70.89673
      -0.93393      70.94031     -70.94069
      -0.81493      70.97158     -70.97201
      -0.69493      70.99029     -70.99076
      -0.57593      70.99998     -71.00046
      -0.45693      71.01046     -71.01091
      -0.33793      71.03115     -71.03153
      -0.21893      71.06694     -71.06566
      -0.09993      71.18171     -71.11390
       0.01907      71.59168     -71.17684
       0.13807      72.09651     -71.25622
       0.25707      72.34505     -71.35367
       0.37607      72.46938     -71.47027
       0.49507      72.60931     -71.61032
       0.61507      72.77901     -71.78044
       0.73407      72.98582     -71.98891
       0.85307      73.24990     -72.27479
       0.97207      73.63230     -72.82737
       1.09107      74.17511     -73.76009
       1.21007      74.74723     -74.64701
       1.32907      75.21859     -75.19924
       1.44807      75.61337     -75.60135
       1.56707      75.97987     -75.95552
       1.68607      76.44629     -76.28171
       1.80507      77.13059     -76.59421
       1.92507      77.94779     -76.89372
       2.04407      78.91606     -77.17829
       2.16307      79.91541     -77.45541
       2.28207      80.58606     -77.76534
       2.40107      80.95185     -78.25576
       2.52007      81.24565     -78.94726
       2.63907      81.58839     -79.66716
       2.75807      82.04993     -80.32264
       2.87707      82.69087     -80.91196
       2.99607      83.48884     -81.47734
       3.11507      84.38702     -82.07738
       3.23507      85.31408     -82.74137
       3.35407      86.28021     -83.55625
       3.47307      87.24127     -84.49367
       3.59207      88.13296     -85.37202
       3.71107      89.04311     -86.20691
       3.83007      90.00608     -87.10515
       3.94907      91.06986     -88.02876
       4.06807      92.20044     -88.95761
       4.18707      93.37611     -89.95725
       4.30607      94.63013     -90.97881
       4.42507      95.84271     -92.00341
       4.54507      96.98527     -93.12197
       4.66407      98.14492     -94.35748
       4.78307      99.34601     -95.59959
       4.90207     100.59467     -96.78961
       5.02107     101.86418     -98.00939
       5.14007     103.11880     -99.26640
       5.25907     104.38890    -100.45010
       5.37807     105.68639    -101.59611
       5.49707     106.98627    -102.85591
       5.61607     108.32247    -104.16114
       5.73507     109.67177    -105.43482
       5.85507     110.85160    -106.72517
       5.97407     111.63009    -108.05481
       6.09307     111.94385    -109.39637
       6.21207     111.99779    -110.60746
       6.33107     111.99999    -111.47004
       6.45007     112.00001    -111.88483
       6.56907     112.00001    -111.99026
       6.68807     112.00001    -111.99818
       6.80707     112.00001    -111.99827
       6.92607     112.00001    -111.99827
       7.04507     112.00001    -111.99827
       7.16507     112.00001    -111.99827
       7.28407     112.00001    -111.99827
       7.40307     112.00001    -111.99827
       7.52207     112.00001    -111.99827
       7.64107     112.00001    -111.99827
       7.76007     112.00001    -111.99827
       7.87907     112.00001    -111.99827
       7.99807     112.00001    -111.99827
